"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-29","69.58","69.23","69.58","68.89","","0.52%"
"2023-6-28","69.22","67.86","69.64","66.97","","2.03%"
"2023-6-27","67.84","69.39","70.05","67.41","","-2.21%"
"2023-6-26","69.37","69.86","69.94","68.62","","-0.67%"
"2023-6-25","69.84","69.53","69.97","69.36","","0.62%"
"2023-6-23","69.41","69.20","69.49","67.25","","0.27%"
"2023-6-22","69.22","72.34","72.53","68.83","","-4.37%"
"2023-6-21","72.38","70.80","72.58","70.75","","2.22%"
"2023-6-20","70.81","71.23","72.25","69.65","","-0.53%"
"2023-6-19","71.19","71.33","72.12","70.69","","-0.21%"
"2023-6-18","71.34","71.53","71.58","71.28","","-0.21%"
"2023-6-16","71.49","70.67","71.88","70.05","","1.17%"
"2023-6-15","70.66","68.53","71.01","68.03","","3.06%"
"2023-6-14","68.56","69.22","70.50","68.12","","-0.92%"
"2023-6-13","69.20","67.44","69.83","67.17","","2.64%"
"2023-6-12","67.42","69.97","69.98","66.81","","-3.69%"
"2023-6-11","70.00","70.19","70.25","69.86","","-0.48%"
"2023-6-9","70.34","70.86","71.78","70.13","","-0.73%"
"2023-6-8","70.86","72.41","73.30","69.09","","-2.18%"
"2023-6-7","72.44","71.72","73.18","71.03","","0.93%"
"2023-6-6","71.77","71.98","72.34","70.14","","-0.28%"
"2023-6-5","71.97","73.39","73.86","71.75","","-1.93%"
"2023-6-4","73.39","73.78","74.34","73.30","","2.02%"
"2023-6-2","71.94","70.11","72.19","70.03","","2.61%"
"2023-6-1","70.11","67.75","71.08","67.55","","3.48%"
"2023-5-31","67.75","69.54","69.70","67.06","","-2.62%"
"2023-5-30","69.57","72.92","73.39","69.05","","-4.55%"
"2023-5-29","72.89","73.25","73.56","72.08","","-0.46%"
"2023-5-28","73.23","73.19","73.47","73.09","","0.43%"
"2023-5-26","72.92","71.86","73.08","71.53","","1.45%"
"2023-5-25","71.88","74.28","74.40","71.06","","-3.19%"
"2023-5-24","74.25","73.89","74.76","73.17","","0.50%"
"2023-5-23","73.88","72.33","74.02","71.75","","2.10%"
"2023-5-22","72.36","71.91","72.56","70.72","","0.70%"
"2023-5-21","71.86","71.92","71.98","71.72","","-0.10%"
"2023-5-19","71.93","72.14","73.56","71.22","","-0.29%"
"2023-5-18","72.14","72.78","73.00","71.59","","-0.87%"
"2023-5-17","72.77","70.62","73.33","70.11","","2.97%"
"2023-5-16","70.67","71.42","71.80","70.49","","-1.05%"
"2023-5-15","71.42","70.06","71.69","69.42","","1.94%"
"2023-5-14","70.06","70.08","70.20","69.97","","-0.07%"
"2023-5-12","70.11","71.33","71.77","69.96","","-1.75%"
"2023-5-11","71.36","72.88","73.52","70.66","","-2.10%"
"2023-5-10","72.89","73.62","73.89","71.83","","-0.98%"
"2023-5-9","73.61","73.00","73.79","71.39","","0.84%"
"2023-5-8","73.00","71.39","73.71","71.06","","2.18%"
"2023-5-7","71.44","71.38","71.92","71.38","","0.06%"
"2023-5-5","71.40","68.75","71.82","68.52","","3.82%"
"2023-5-4","68.77","67.56","69.83","67.54","","2.26%"
"2023-5-3","67.25","71.62","71.81","64.00","","-6.13%"
"2023-5-2","71.64","75.61","76.14","71.46","","-5.26%"
"2023-5-1","75.62","76.17","76.31","74.58","","-0.66%"
"2023-4-30","76.12","76.67","76.72","76.09","","-0.76%"
"2023-4-28","76.70","74.84","76.95","73.98","","2.50%"
"2023-4-27","74.83","74.44","75.31","74.08","","0.51%"
"2023-4-26","74.45","77.38","77.97","74.09","","-3.72%"
"2023-4-25","77.33","78.70","79.11","76.57","","-1.70%"
"2023-4-24","78.67","77.77","79.21","76.77","","1.14%"
"2023-4-23","77.78","77.95","77.95","77.67","","-0.26%"
"2023-4-21","77.98","77.17","78.42","76.78","","1.05%"
"2023-4-20","77.17","78.98","79.06","77.03","","-2.24%"
"2023-4-19","78.94","81.00","81.30","78.61","","-2.58%"
"2023-4-18","81.03","80.91","81.58","79.98","","0.17%"
"2023-4-17","80.89","82.53","82.67","80.53","","-2.01%"
"2023-4-16","82.55","82.55","82.67","82.39","","-0.12%"
"2023-4-14","82.65","82.20","83.05","81.73","","0.52%"
"2023-4-13","82.22","83.03","83.37","82.06","","-0.99%"
"2023-4-12","83.04","81.42","83.47","81.23","","2.00%"
"2023-4-11","81.41","79.78","81.53","79.33","","2.02%"
"2023-4-10","79.80","80.77","81.05","79.55","","-1.18%"
"2023-4-9","80.75","80.58","81.14","80.58","","0.49%"
"2023-4-6","80.36","80.44","80.86","79.56","","-0.10%"
"2023-4-5","80.44","80.84","81.14","79.64","","-0.52%"
