"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-29","74.04","73.85","74.12","73.49","","0.39%"
"2023-6-28","73.75","72.68","74.31","71.75","","1.46%"
"2023-6-27","72.69","74.33","74.97","72.23","","-2.23%"
"2023-6-26","74.35","74.70","74.88","73.50","","-0.46%"
"2023-6-25","74.69","74.47","74.78","74.25","","0.55%"
"2023-6-23","74.28","74.06","74.38","72.18","","0.00%"
"2023-6-22","74.28","77.06","77.24","73.65","","-3.60%"
"2023-6-21","77.05","75.59","77.30","75.59","","2.03%"
"2023-6-20","75.52","76.17","77.20","74.59","","-0.88%"
"2023-6-19","76.19","76.18","77.00","75.42","","0.00%"
"2023-6-18","76.19","76.39","76.42","76.11","","-0.25%"
"2023-6-16","76.38","75.73","76.83","75.19","","0.87%"
"2023-6-15","75.72","73.47","76.06","73.02","","2.71%"
"2023-6-14","73.72","74.17","75.59","73.13","","-0.79%"
"2023-6-13","74.31","72.26","74.75","72.05","","2.94%"
"2023-6-12","72.19","74.63","74.65","71.69","","-3.28%"
"2023-6-11","74.64","74.90","74.90","74.52","","-0.60%"
"2023-6-9","75.09","75.62","76.69","74.85","","-0.79%"
"2023-6-8","75.69","76.89","77.81","73.74","","-1.62%"
"2023-6-7","76.94","76.38","77.76","75.66","","0.87%"
"2023-6-6","76.28","76.69","76.89","74.88","","-0.59%"
"2023-6-5","76.73","77.99","78.38","76.47","","-1.63%"
"2023-6-4","78.00","78.22","78.88","77.74","","2.00%"
"2023-6-2","76.47","74.44","76.67","74.35","","2.69%"
"2023-6-1","74.47","72.39","75.42","72.20","","2.99%"
"2023-5-31","72.31","73.97","74.12","71.68","","-2.32%"
"2023-5-30","74.03","77.16","77.77","73.50","","-4.21%"
"2023-5-29","77.28","77.71","78.02","76.36","","-0.54%"
"2023-5-28","77.70","77.59","77.91","77.56","","0.36%"
"2023-5-26","77.42","76.24","77.53","75.88","","1.39%"
"2023-5-25","76.36","78.46","78.60","75.32","","-2.69%"
"2023-5-24","78.47","77.79","78.72","77.18","","1.10%"
"2023-5-23","77.62","76.28","77.81","75.73","","2.09%"
"2023-5-22","76.03","75.82","76.55","74.66","","0.29%"
"2023-5-21","75.81","75.83","75.91","75.65","","-0.11%"
"2023-5-19","75.89","76.14","77.57","75.24","","-0.24%"
"2023-5-18","76.07","76.89","77.09","75.62","","-1.08%"
"2023-5-17","76.90","74.77","77.43","74.23","","2.73%"
"2023-5-16","74.86","75.68","76.08","74.64","","-1.08%"
"2023-5-15","75.68","74.31","75.89","73.63","","1.84%"
"2023-5-14","74.31","74.29","74.41","74.20","","-0.07%"
"2023-5-12","74.36","75.47","76.01","74.20","","-1.65%"
"2023-5-11","75.61","76.85","77.59","74.80","","-1.49%"
"2023-5-10","76.75","77.55","77.78","75.88","","-0.93%"
"2023-5-9","77.47","77.00","77.69","75.29","","0.87%"
"2023-5-8","76.80","75.54","77.63","75.15","","1.65%"
"2023-5-7","75.55","75.47","76.00","75.47","","0.03%"
"2023-5-5","75.53","72.87","75.97","72.63","","3.82%"
"2023-5-4","72.75","71.66","73.95","71.65","","0.85%"
"2023-5-3","72.14","75.52","75.78","71.94","","-4.39%"
"2023-5-2","75.45","79.53","80.04","75.33","","-5.26%"
"2023-5-1","79.64","79.92","80.13","78.39","","-0.35%"
"2023-4-30","79.92","80.47","80.52","79.89","","-0.82%"
"2023-4-28","80.58","78.55","80.81","77.80","","2.53%"
"2023-4-27","78.59","78.09","78.83","77.66","","0.61%"
"2023-4-26","78.11","81.12","81.68","77.81","","-3.46%"
"2023-4-25","80.91","82.72","83.20","80.55","","-2.20%"
"2023-4-24","82.73","81.69","83.13","80.63","","1.27%"
"2023-4-23","81.69","81.88","81.88","81.59","","-0.23%"
"2023-4-21","81.88","80.90","82.15","80.56","","1.20%"
"2023-4-20","80.91","82.95","83.03","80.89","","-2.51%"
"2023-4-19","82.99","84.97","85.28","82.55","","-2.36%"
"2023-4-18","85.00","84.89","85.56","83.97","","0.00%"
"2023-4-17","85.00","86.56","86.69","84.54","","-1.82%"
"2023-4-16","86.58","86.52","86.64","86.39","","-0.13%"
"2023-4-14","86.69","86.40","87.08","85.77","","0.22%"
"2023-4-13","86.50","87.43","87.69","86.28","","-1.08%"
"2023-4-12","87.44","85.81","87.72","85.65","","1.89%"
"2023-4-11","85.82","84.47","85.92","84.00","","1.53%"
