"日期","收盘","开盘","高","低","涨跌幅"
"2023-6-29","2.132","2.150","2.170","2.131","-1.20%"
"2023-6-28","2.158","2.170","2.177","2.148","-0.71%"
"2023-6-27","2.174","2.160","2.179","2.146","-0.28%"
"2023-6-26","2.180","2.256","2.256","2.162","0.93%"
"2023-6-25","2.160","2.172","2.181","2.158","-1.37%"
"2023-6-21","2.190","2.280","2.280","2.170","-0.23%"
"2023-6-20","2.195","2.295","2.295","2.183","-1.13%"
"2023-6-19","2.220","2.180","2.220","2.160","3.35%"
"2023-6-16","2.148","2.175","2.175","2.132","0.94%"
"2023-6-15","2.128","2.141","2.141","2.101","1.29%"
"2023-6-14","2.101","2.180","2.180","2.072","-0.10%"
"2023-6-13","2.103","2.215","2.215","2.080","-0.99%"
"2023-6-12","2.124","2.200","2.200","2.102","0.71%"
"2023-6-9","2.109","2.190","2.190","2.102","-0.71%"
"2023-6-8","2.124","2.150","2.150","2.108","1.00%"
"2023-6-7","2.103","2.185","2.185","2.082","0.19%"
"2023-6-6","2.099","2.220","2.220","2.087","-1.69%"
"2023-6-5","2.135","2.200","2.200","2.127","-1.43%"
"2023-6-2","2.166","2.237","2.237","2.132","0.51%"
"2023-6-1","2.155","2.240","2.240","2.137","-0.60%"
"2023-5-31","2.168","2.221","2.221","2.162","-1.36%"
"2023-5-30","2.198","2.253","2.253","2.195","-0.81%"
"2023-5-29","2.216","2.307","2.307","2.192","-0.89%"
"2023-5-26","2.236","2.247","2.247","2.227","0.22%"
"2023-5-25","2.231","2.250","2.250","2.221","0.36%"
"2023-5-24","2.223","2.269","2.269","2.217","-0.76%"
"2023-5-23","2.240","2.241","2.241","2.192","0.00%"
"2023-5-22","2.240","2.327","2.327","2.234","-1.28%"
"2023-5-19","2.269","2.323","2.323","2.262","-0.70%"
"2023-5-18","2.285","2.315","2.315","2.273","0.35%"
"2023-5-17","2.277","2.270","2.277","2.252","0.53%"
"2023-5-16","2.265","2.295","2.295","2.236","1.12%"
"2023-5-15","2.240","2.309","2.309","2.219","1.17%"
"2023-5-12","2.214","2.216","2.219","2.199","0.23%"
"2023-5-11","2.209","2.263","2.263","2.201","-1.07%"
"2023-5-10","2.233","2.277","2.277","2.228","-1.41%"
"2023-5-9","2.265","2.328","2.328","2.252","-0.22%"
"2023-5-8","2.270","2.323","2.323","2.255","1.18%"
"2023-5-6","2.243","2.245","2.250","2.243","-0.51%"
"2023-5-5","2.255","2.320","2.320","2.250","-1.44%"
"2023-5-4","2.288","2.390","2.390","2.272","-0.17%"
"2023-4-28","2.292","2.340","2.340","2.287","-0.22%"
"2023-4-27","2.297","2.380","2.380","2.287","-1.92%"
"2023-4-26","2.342","2.408","2.408","2.335","-0.59%"
"2023-4-25","2.356","2.425","2.425","2.352","-0.38%"
"2023-4-24","2.365","2.455","2.455","2.352","0.36%"
"2023-4-23","2.356","2.350","2.365","2.350","-0.57%"
"2023-4-21","2.370","2.417","2.417","2.358","0.08%"
"2023-4-20","2.368","2.404","2.404","2.358","-0.08%"
"2023-4-19","2.370","2.465","2.465","2.358","-0.17%"
"2023-4-18","2.374","2.460","2.460","2.367","-0.34%"
"2023-4-17","2.382","2.458","2.458","2.367","0.51%"
"2023-4-14","2.370","2.410","2.410","2.357","0.00%"
"2023-4-13","2.370","2.410","2.410","2.360","0.21%"
"2023-4-12","2.365","2.418","2.418","2.357","0.08%"
"2023-4-11","2.363","2.420","2.420","2.360","-0.67%"
"2023-4-10","2.379","2.465","2.465","2.372","-0.21%"
"2023-4-7","2.384","2.400","2.400","2.379","-0.17%"
"2023-4-6","2.388","2.420","2.420","2.378","0.34%"
"2023-4-4","2.380","2.425","2.425","2.375","0.00%"
"2023-4-3","2.380","2.453","2.453","2.359","0.42%"
"2023-3-31","2.370","2.430","2.430","2.366","-0.96%"
"2023-3-30","2.393","2.430","2.430","2.372","0.34%"
"2023-3-29","2.385","2.429","2.429","2.385","-0.42%"
"2023-3-28","2.395","2.395","2.400","2.389","0.17%"
"2023-3-27","2.391","2.460","2.460","2.388","-0.83%"
"2023-3-24","2.411","2.445","2.455","2.390","0.75%"
"2023-3-23","2.393","2.460","2.460","2.380","-0.21%"
"2023-3-22","2.398","2.405","2.405","2.385","0.38%"
"2023-3-21","2.389","2.415","2.415","2.389","-0.04%"
"2023-3-20","2.390","2.430","2.430","2.363","-0.21%"
"2023-3-17","2.395","2.435","2.435","2.394","-0.21%"
"2023-3-16","2.400","2.450","2.460","2.395","-0.33%"
"2023-3-15","2.408","2.440","2.440","2.402","-0.62%"
"2023-3-14","2.423","2.438","2.438","2.415","0.12%"
"2023-3-13","2.420","2.500","2.500","2.404","-2.42%"
"2023-3-10","2.480","2.490","2.490","2.480","0.61%"
"2023-3-9","2.465","2.548","2.548","2.453","-0.52%"
"2023-3-8","2.478","2.560","2.560","2.468","0.81%"
"2023-3-7","2.458","2.490","2.490","2.450","-0.41%"
"2023-3-6","2.468","2.570","2.570","2.460","-0.68%"
"2023-3-3","2.485","2.575","2.575","2.480","-0.44%"
"2023-3-2","2.496","2.566","2.566","2.465","-0.56%"
"2023-3-1","2.510","2.586","2.586","2.495","0.00%"
"2023-2-28","2.510","2.510","2.510","2.490","-0.83%"
"2023-2-27","2.531","2.540","2.540","2.510","0.84%"
"2023-2-24","2.510","2.525","2.525","2.491","0.28%"
"2023-2-23","2.503","2.540","2.540","2.480","0.12%"
"2023-2-22","2.500","2.560","2.560","2.470","-0.40%"
"2023-2-21","2.510","2.510","2.520","2.498","0.28%"
"2023-2-20","2.503","2.520","2.520","2.448","1.42%"
"2023-2-17","2.468","2.492","2.492","2.445","0.41%"
"2023-2-16","2.458","2.510","2.510","2.443","-0.08%"
"2023-2-15","2.460","2.470","2.480","2.440","0.78%"
"2023-2-14","2.441","2.548","2.548","2.425","-0.41%"
"2023-2-13","2.451","2.520","2.520","2.429","0.33%"
"2023-2-10","2.443","2.465","2.465","2.423","0.21%"
"2023-2-9","2.438","2.510","2.560","2.430","-0.49%"
"2023-2-8","2.450","2.480","2.480","2.440","0.00%"
"2023-2-7","2.450","2.465","2.475","2.433","0.57%"
"2023-2-6","2.436","2.460","2.460","2.420","5.45%"
"2023-2-3","2.310","2.340","2.350","2.295","-0.65%"
"2023-2-2","2.325","2.360","2.390","2.305","-0.21%"
"2023-2-1","2.330","2.430","2.430","2.320","-0.64%"
"2023-1-31","2.345","2.460","2.460","2.325","-1.76%"
"2023-1-30","2.387","2.455","2.455","2.360","2.21%"
"2023-1-29","2.336","2.335","2.338","2.334","-0.74%"
"2023-1-28","2.353","2.346","2.353","2.330","-1.96%"
"2023-1-20","2.400","2.410","2.460","2.395","0.84%"
"2023-1-19","2.380","2.445","2.445","2.370","-1.04%"
"2023-1-18","2.405","2.444","2.444","2.370","0.63%"
"2023-1-17","2.390","2.470","2.470","2.378","-1.20%"
"2023-1-16","2.419","2.409","2.419","2.370","1.85%"
"2023-1-13","2.375","2.420","2.420","2.340","0.08%"
"2023-1-12","2.373","2.410","2.440","2.340","-0.42%"
"2023-1-11","2.383","2.410","2.440","2.368","-1.20%"
"2023-1-10","2.412","2.400","2.412","2.345","2.64%"
"2023-1-9","2.350","2.405","2.405","2.328","-0.42%"
"2023-1-6","2.360","2.324","2.360","2.309","2.48%"
"2023-1-5","2.303","2.308","2.308","2.285","0.44%"
"2023-1-4","2.293","2.323","2.333","2.287","-0.91%"
"2023-1-3","2.314","2.397","2.397","2.300","-1.24%"
"2022-12-30","2.343","2.370","2.370","2.323","-0.42%"
"2022-12-29","2.353","2.392","2.408","2.343","-1.75%"
"2022-12-28","2.395","2.490","2.490","2.370","-0.83%"
"2022-12-27","2.415","2.380","2.415","2.350","1.86%"
"2022-12-26","2.371","2.370","2.420","2.345","0.55%"
"2022-12-23","2.358","2.390","2.403","2.340","-0.84%"
"2022-12-22","2.378","2.415","2.435","2.370","-0.83%"
"2022-12-21","2.398","2.435","2.440","2.383","-1.03%"
"2022-12-20","2.423","2.435","2.435","2.378","1.42%"
"2022-12-19","2.389","2.480","2.480","2.383","-1.69%"
"2022-12-16","2.430","2.458","2.458","2.410","-0.33%"
"2022-12-15","2.438","2.499","2.499","2.412","-1.14%"
"2022-12-14","2.466","2.520","2.520","2.430","-0.68%"
"2022-12-13","2.483","2.445","2.483","2.440","1.35%"
"2022-12-12","2.450","2.510","2.510","2.400","0.95%"
"2022-12-9","2.427","2.483","2.483","2.403","0.37%"
"2022-12-8","2.418","2.405","2.421","2.388","0.75%"
"2022-12-7","2.400","2.396","2.400","2.365","1.27%"
"2022-12-6","2.370","2.335","2.370","2.335","1.50%"
"2022-12-5","2.335","2.350","2.380","2.324","0.17%"
"2022-12-2","2.331","2.365","2.365","2.315","-0.81%"
"2022-12-1","2.350","2.345","2.370","2.330","0.51%"
"2022-11-30","2.338","2.376","2.376","2.325","-1.06%"
"2022-11-29","2.363","2.318","2.363","2.303","2.52%"
"2022-11-28","2.305","2.363","2.363","2.260","0.35%"
"2022-11-25","2.297","2.279","2.297","2.245","1.73%"
"2022-11-24","2.258","2.310","2.310","2.241","-1.18%"
"2022-11-23","2.285","2.350","2.350","2.275","-1.51%"
"2022-11-22","2.320","2.340","2.340","2.305","-0.13%"
"2022-11-21","2.323","2.370","2.400","2.295","-1.36%"
"2022-11-18","2.355","2.396","2.396","2.330","-0.34%"
"2022-11-17","2.363","2.419","2.419","2.340","-1.34%"
"2022-11-16","2.395","2.375","2.395","2.325","1.23%"
"2022-11-15","2.366","2.310","2.366","2.285","4.00%"
"2022-11-14","2.275","2.245","2.295","2.215","3.74%"
"2022-11-11","2.193","2.210","2.210","2.130","2.72%"
"2022-11-10","2.135","2.174","2.174","2.123","0.47%"
"2022-11-9","2.125","2.135","2.135","2.118","0.09%"
"2022-11-8","2.123","2.105","2.123","2.086","1.87%"
"2022-11-7","2.084","2.110","2.110","2.073","-0.05%"
"2022-11-4","2.085","2.080","2.092","2.063","0.82%"
"2022-11-3","2.068","2.080","2.080","2.059","0.10%"
"2022-11-2","2.066","2.100","2.100","2.063","-0.10%"
"2022-11-1","2.068","2.065","2.068","2.045","0.68%"
"2022-10-31","2.054","2.090","2.090","2.044","-0.48%"
"2022-10-28","2.064","2.080","2.080","2.056","0.00%"
"2022-10-27","2.064","2.093","2.093","2.062","-1.39%"
"2022-10-26","2.093","2.140","2.140","2.070","-0.10%"
"2022-10-25","2.095","2.095","2.095","2.083","0.38%"
"2022-10-24","2.087","2.120","2.120","2.080","-0.14%"
"2022-10-21","2.090","2.110","2.110","2.070","0.72%"
"2022-10-20","2.075","2.080","2.090","2.064","0.48%"
"2022-10-19","2.065","2.100","2.100","2.061","-0.15%"
"2022-10-18","2.068","2.107","2.107","2.064","-0.34%"
"2022-10-17","2.075","2.100","2.100","2.065","-0.48%"
"2022-10-15","2.085","2.056","2.085","2.056","0.10%"
"2022-10-14","2.083","2.113","2.113","2.073","-0.57%"
"2022-10-13","2.095","2.110","2.110","2.083","-0.24%"
"2022-10-12","2.100","2.105","2.105","2.080","0.24%"
"2022-10-11","2.095","2.190","2.190","2.075","-1.64%"
"2022-10-10","2.130","2.145","2.145","2.100","1.79%"
"2022-10-9","2.092","2.094","2.099","2.073","-0.55%"
"2022-10-8","2.104","2.130","2.135","2.102","-0.52%"
"2022-10-3","2.115","2.115","2.115","2.115","-3.64%"
"2022-9-30","2.195","2.145","2.195","2.145","2.71%"
"2022-9-29","2.137","2.147","2.147","2.113","0.33%"
"2022-9-28","2.130","2.117","2.135","2.107","0.80%"
"2022-9-27","2.113","2.110","2.115","2.100","0.48%"
"2022-9-26","2.103","2.110","2.130","2.083","2.59%"
"2022-9-23","2.050","2.050","2.050","2.050","0.74%"
"2022-9-22","2.035","2.040","2.040","2.035","-0.39%"
"2022-9-21","2.043","2.055","2.055","2.043","-0.73%"
"2022-9-20","2.058","2.058","2.058","2.058","-0.24%"
"2022-9-19","2.063","2.060","2.068","2.050","0.15%"
"2022-9-16","2.060","2.060","2.060","2.060","1.53%"
"2022-9-15","2.029","2.025","2.033","2.025","-0.10%"
"2022-9-14","2.031","2.041","2.041","2.031","0.00%"
"2022-9-13","2.031","2.150","2.150","2.024","0.40%"
"2022-9-9","2.023","2.060","2.060","2.013","-0.98%"
"2022-9-8","2.043","2.045","2.045","2.015","1.39%"
"2022-9-7","2.015","2.053","2.053","2.010","-0.59%"
"2022-9-6","2.027","2.044","2.044","1.998","0.70%"
"2022-9-5","2.013","2.133","2.133","1.998","-0.54%"
"2022-9-2","2.024","2.072","2.072","2.022","-0.69%"
"2022-9-1","2.038","2.070","2.070","2.036","-0.78%"
"2022-8-31","2.054","2.084","2.084","2.048","-0.05%"
"2022-8-30","2.055","2.128","2.128","2.053","-1.77%"
"2022-8-29","2.092","2.213","2.213","2.085","-0.85%"
"2022-8-26","2.110","2.118","2.118","2.104","0.05%"
"2022-8-25","2.109","2.108","2.109","2.090","1.10%"
"2022-8-24","2.086","2.097","2.097","2.082","-0.10%"
"2022-8-23","2.088","2.085","2.093","2.074","0.87%"
"2022-8-22","2.070","2.100","2.100","2.060","0.58%"
"2022-8-19","2.058","2.084","2.084","2.050","0.15%"
"2022-8-18","2.055","2.104","2.104","2.052","-1.01%"
"2022-8-17","2.076","2.085","2.103","2.076","-0.34%"
"2022-8-16","2.083","2.103","2.110","2.059","-0.48%"
"2022-8-15","2.093","2.285","2.285","2.082","-3.81%"
"2022-8-12","2.176","2.212","2.212","2.171","-0.41%"
"2022-8-11","2.185","2.209","2.209","2.178","0.41%"
"2022-8-10","2.176","2.203","2.203","2.148","0.83%"
"2022-8-9","2.158","2.190","2.190","2.115","1.65%"
"2022-8-8","2.123","2.175","2.175","2.085","5.20%"
"2022-8-5","2.018","2.003","2.035","1.992","1.25%"
"2022-8-4","1.993","2.023","2.023","1.976","-1.09%"
"2022-8-3","2.015","2.040","2.040","2.008","-0.69%"
"2022-8-2","2.029","2.080","2.080","2.022","-1.50%"
"2022-8-1","2.060","2.160","2.160","2.058","-2.09%"
"2022-7-29","2.104","2.148","2.148","2.100","-1.59%"
"2022-7-28","2.138","2.123","2.161","2.102","1.57%"
"2022-7-27","2.105","2.157","2.157","2.102","-0.61%"
"2022-7-26","2.118","2.192","2.192","2.115","-1.81%"
"2022-7-25","2.157","2.290","2.290","2.153","-0.78%"
"2022-7-22","2.174","2.263","2.263","2.168","-0.28%"
"2022-7-21","2.180","2.218","2.218","2.171","-0.23%"
"2022-7-20","2.185","2.261","2.261","2.182","-0.86%"
"2022-7-19","2.204","2.245","2.245","2.194","0.14%"
"2022-7-18","2.201","2.300","2.300","2.193","-0.32%"
"2022-7-15","2.208","2.232","2.232","2.202","-0.54%"
"2022-7-14","2.220","2.273","2.273","2.217","-1.07%"
"2022-7-13","2.244","2.283","2.283","2.240","-0.36%"
"2022-7-12","2.252","2.285","2.285","2.243","-1.01%"
"2022-7-11","2.275","2.403","2.403","2.275","-1.22%"
"2022-7-8","2.303","2.332","2.332","2.298","0.00%"
"2022-7-7","2.303","2.337","2.337","2.302","-0.43%"
"2022-7-6","2.313","2.366","2.366","2.302","-0.13%"
"2022-7-5","2.316","2.310","2.316","2.294","0.78%"
"2022-7-4","2.298","2.360","2.360","2.243","2.59%"
"2022-7-1","2.240","2.290","2.290","2.231","-0.58%"
"2022-6-30","2.253","2.313","2.313","2.248","-1.40%"
"2022-6-29","2.285","2.313","2.313","2.275","-0.17%"
"2022-6-28","2.289","2.326","2.326","2.278","0.26%"
"2022-6-27","2.283","2.350","2.350","2.270","1.33%"
"2022-6-24","2.253","2.296","2.296","2.238","0.40%"
"2022-6-23","2.244","2.296","2.296","2.238","-0.58%"
"2022-6-22","2.257","2.314","2.314","2.254","-0.27%"
"2022-6-21","2.263","2.291","2.291","2.261","0.04%"
"2022-6-20","2.262","2.280","2.280","2.250","0.62%"
"2022-6-17","2.248","2.290","2.290","2.248","-0.71%"
"2022-6-16","2.264","2.304","2.304","2.262","-0.26%"
"2022-6-15","2.270","2.375","2.375","2.265","0.22%"
"2022-6-14","2.265","2.308","2.308","2.264","0.18%"
"2022-6-13","2.261","2.290","2.290","2.255","0.31%"
