"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-7-12","12,570.45","12,600.06","12,632.90","12,550.67","","-0.23%"
"2023-7-11","12,600.06","12,529.86","12,617.51","12,524.66","","0.56%"
"2023-7-10","12,529.86","12,441.77","12,609.38","12,441.77","","0.71%"
"2023-7-7","12,441.77","12,497.08","12,497.08","12,420.74","","-0.44%"
"2023-7-6","12,497.08","12,590.07","12,630.76","12,473.58","","-0.74%"
"2023-7-5","12,590.07","12,727.60","12,729.61","12,564.71","","-1.08%"
"2023-7-4","12,727.60","12,728.01","12,732.19","12,658.16","","0.00%"
"2023-7-3","12,728.01","12,489.45","12,736.13","12,489.45","","1.91%"
"2023-6-30","12,489.45","12,448.46","12,560.80","12,413.83","","0.33%"
"2023-6-29","12,448.46","12,566.54","12,570.66","12,448.46","","-0.94%"
"2023-6-28","12,566.54","12,521.31","12,584.77","12,472.09","","0.36%"
"2023-6-27","12,521.31","12,457.26","12,548.47","12,387.98","","0.51%"
"2023-6-26","12,457.26","12,646.03","12,646.03","12,423.33","","-1.49%"
"2023-6-21","12,646.03","12,774.33","12,811.82","12,646.03","","-1.00%"
"2023-6-20","12,774.33","12,850.83","12,879.97","12,749.99","","-0.60%"
"2023-6-19","12,850.83","13,056.52","13,056.52","12,804.64","","-1.58%"
"2023-6-16","13,056.52","12,953.75","13,080.77","12,951.50","","0.79%"
"2023-6-15","12,953.75","12,722.39","12,953.75","12,722.39","","1.82%"
"2023-6-14","12,722.39","12,704.37","12,851.30","12,700.40","","0.14%"
"2023-6-13","12,704.37","12,656.88","12,717.08","12,599.49","","0.38%"
"2023-6-12","12,656.88","12,600.24","12,715.77","12,543.58","","0.45%"
"2023-6-9","12,600.24","12,564.64","12,632.50","12,552.25","","0.28%"
"2023-6-8","12,564.64","12,426.64","12,618.11","12,409.41","","1.11%"
"2023-6-7","12,426.64","12,505.77","12,570.21","12,406.79","","-0.63%"
"2023-6-6","12,505.77","12,538.08","12,691.18","12,486.65","","-0.26%"
"2023-6-5","12,538.08","12,601.64","12,601.66","12,491.68","","-0.50%"
"2023-6-2","12,601.64","12,385.33","12,615.87","12,385.33","","1.75%"
"2023-6-1","12,385.33","12,333.43","12,507.46","12,308.86","","0.42%"
"2023-5-31","12,333.43","12,549.56","12,550.64","12,289.49","","-1.72%"
"2023-5-30","12,549.56","12,589.62","12,636.93","12,416.07","","-0.32%"
"2023-5-29","12,589.62","12,624.70","12,676.16","12,517.75","","-0.28%"
"2023-5-26","12,624.70","12,651.52","12,664.38","12,514.50","","-0.21%"
"2023-5-25","12,651.52","12,715.92","12,715.92","12,567.10","","-0.51%"
"2023-5-24","12,715.92","12,910.16","12,910.16","12,715.92","","-1.50%"
"2023-5-23","12,910.16","13,115.53","13,144.25","12,910.16","","-1.57%"
"2023-5-22","13,115.53","12,971.93","13,174.01","12,938.46","","1.11%"
"2023-5-19","12,971.93","13,007.21","13,048.61","12,870.53","","-0.27%"
"2023-5-18","13,007.21","13,040.91","13,126.96","12,958.34","","-0.26%"
"2023-5-17","13,040.91","13,133.52","13,141.81","13,000.88","","-0.71%"
"2023-5-16","13,133.52","13,185.46","13,230.79","13,093.99","","-0.39%"
"2023-5-15","13,185.46","13,012.79","13,186.40","12,940.55","","1.33%"
"2023-5-12","13,012.79","13,164.36","13,197.06","13,010.35","","-1.15%"
"2023-5-11","13,164.36","13,180.67","13,272.21","13,154.48","","-0.12%"
"2023-5-10","13,180.67","13,312.00","13,312.00","13,155.15","","-0.99%"
"2023-5-9","13,312.00","13,385.98","13,522.77","13,302.68","","-0.55%"
"2023-5-8","13,385.98","13,243.20","13,439.15","13,218.90","","1.08%"
"2023-5-5","13,243.20","13,231.16","13,323.08","13,166.09","","0.09%"
"2023-5-4","13,231.16","13,195.98","13,251.34","13,092.03","","0.27%"
"2023-4-28","13,195.98","13,095.79","13,223.23","13,095.17","","0.77%"
"2023-4-27","13,095.79","12,954.73","13,133.59","12,903.08","","1.09%"
"2023-4-26","12,954.73","12,959.22","12,989.30","12,852.01","","-0.03%"
"2023-4-25","12,959.22","12,904.17","12,980.34","12,843.38","","0.43%"
"2023-4-24","12,904.17","13,056.33","13,064.81","12,869.08","","-1.17%"
"2023-4-21","13,056.33","13,225.94","13,248.95","13,047.44","","-1.28%"
"2023-4-20","13,225.94","13,338.75","13,339.55","13,180.79","","-0.85%"
"2023-4-19","13,338.75","13,438.50","13,441.48","13,317.97","","-0.74%"
"2023-4-18","13,438.50","13,368.28","13,499.72","13,341.60","","0.53%"
"2023-4-17","13,368.28","13,118.73","13,368.28","13,118.73","","1.90%"
"2023-4-14","13,118.73","13,085.45","13,197.49","13,074.52","","0.25%"
"2023-4-13","13,085.45","13,060.63","13,109.90","12,980.51","","0.19%"
"2023-4-12","13,060.63","13,137.38","13,166.78","13,048.01","","-0.58%"
"2023-4-11","13,137.38","13,214.91","13,255.89","13,109.20","","-0.59%"
"2023-4-10","13,214.91","13,217.63","13,227.31","13,094.45","","-0.02%"
"2023-4-7","13,217.63","13,164.13","13,284.52","13,119.22","","0.41%"
"2023-4-6","13,164.13","13,240.48","13,240.48","13,104.90","","-0.58%"
"2023-4-4","13,240.48","13,214.92","13,242.13","13,137.66","","0.19%"
"2023-4-3","13,214.92","13,236.52","13,256.31","13,169.28","","-0.16%"
"2023-3-31","13,236.52","13,250.37","13,357.61","13,220.97","","-0.10%"
"2023-3-30","13,250.37","13,088.73","13,255.13","13,066.98","","1.23%"
"2023-3-29","13,088.73","13,065.90","13,178.46","13,065.90","","0.17%"
"2023-3-28","13,065.90","13,041.46","13,092.80","13,018.01","","0.19%"
"2023-3-27","13,041.46","13,104.84","13,104.84","12,954.89","","-0.48%"
"2023-3-24","13,104.84","13,165.18","13,170.30","13,079.58","","-0.46%"
"2023-3-23","13,165.18","13,076.40","13,166.01","13,026.01","","0.68%"
"2023-3-22","13,076.40","13,015.70","13,159.21","13,015.70","","0.47%"
"2023-3-21","13,015.70","12,841.31","13,035.34","12,841.31","","1.36%"
"2023-3-20","12,841.31","12,894.12","12,963.67","12,825.95","","-0.41%"
"2023-3-17","12,894.12","12,920.16","13,112.69","12,854.73","","-0.20%"
"2023-3-16","12,920.16","12,998.04","13,033.40","12,879.06","","-0.60%"
"2023-3-15","12,998.04","12,995.57","13,131.07","12,989.88","","0.02%"
"2023-3-14","12,995.57","13,079.91","13,081.46","12,904.99","","-0.64%"
"2023-3-13","13,079.91","12,965.40","13,110.60","12,958.18","","0.88%"
"2023-3-10","12,965.40","13,118.81","13,118.81","12,963.96","","-1.17%"
"2023-3-9","13,118.81","13,199.16","13,234.03","13,054.56","","-0.61%"
"2023-3-8","13,199.16","13,305.08","13,305.08","13,139.01","","-0.80%"
"2023-3-7","13,305.08","13,462.30","13,543.80","13,294.86","","-1.17%"
"2023-3-6","13,462.30","13,571.20","13,571.20","13,394.94","","-0.80%"
"2023-3-3","13,571.20","13,529.41","13,619.13","13,462.79","","0.31%"
"2023-3-2","13,529.41","13,573.24","13,595.24","13,504.71","","-0.32%"
"2023-3-1","13,573.24","13,390.51","13,617.28","13,355.69","","1.36%"
"2023-2-28","13,390.51","13,339.02","13,427.60","13,253.50","","0.39%"
"2023-2-27","13,339.02","13,355.63","13,405.24","13,269.56","","-0.12%"
"2023-2-24","13,355.63","13,548.67","13,549.13","13,327.65","","-1.42%"
"2023-2-23","13,548.67","13,561.58","13,668.04","13,495.70","","-0.10%"
"2023-2-22","13,561.58","13,713.57","13,713.57","13,545.43","","-1.11%"
"2023-2-21","13,713.57","13,710.91","13,741.16","13,627.84","","0.02%"
"2023-2-20","13,710.91","13,401.76","13,719.49","13,374.24","","2.31%"
"2023-2-17","13,401.76","13,591.18","13,661.41","13,391.91","","-1.39%"
"2023-2-16","13,591.18","13,619.03","13,793.18","13,507.19","","-0.20%"
