"日期","收盘","开盘","高","低","涨跌幅"
"2023-6-29","4.754","4.716","4.775","4.716","0.89%"
"2023-6-28","4.712","4.755","4.778","4.704","-1.09%"
"2023-6-27","4.764","4.675","4.772","4.652","0.42%"
"2023-6-26","4.744","4.730","4.761","4.696","-0.12%"
"2023-6-23","4.750","4.780","4.810","4.696","-0.86%"
"2023-6-22","4.791","4.717","4.808","4.692","1.51%"
"2023-6-21","4.720","4.693","4.752","4.681","0.74%"
"2023-6-20","4.685","4.759","4.761","4.661","-1.52%"
"2023-6-19","4.757","4.695","4.763","4.688","1.32%"
"2023-6-18","4.695","4.716","4.716","4.693","-0.54%"
"2023-6-16","4.720","4.648","4.780","4.644","1.51%"
"2023-6-15","4.650","4.694","4.788","4.627","-0.94%"
"2023-6-14","4.694","4.675","4.803","4.605","0.37%"
"2023-6-13","4.677","4.577","4.707","4.493","1.99%"
"2023-6-12","4.585","4.617","4.632","4.558","-0.22%"
"2023-6-9","4.596","4.517","4.615","4.513","1.74%"
"2023-6-8","4.517","4.542","4.592","4.473","-0.78%"
"2023-6-7","4.552","4.489","4.604","4.481","1.22%"
"2023-6-6","4.497","4.466","4.543","4.435","0.61%"
"2023-6-5","4.470","4.528","4.575","4.426","-0.92%"
"2023-6-2","4.511","4.347","4.528","4.331","3.88%"
"2023-6-1","4.343","4.394","4.463","4.316","-1.50%"
"2023-5-31","4.409","4.463","4.465","4.363","-1.15%"
"2023-5-30","4.460","4.599","4.603","4.444","-3.06%"
"2023-5-29","4.601","4.634","4.641","4.576","-0.71%"
"2023-5-28","4.634","4.606","4.655","4.606","1.44%"
"2023-5-26","4.568","4.541","4.639","4.481","0.69%"
"2023-5-25","4.537","4.378","4.539","4.367","3.64%"
"2023-5-24","4.378","4.277","4.392","4.248","1.33%"
"2023-5-23","4.320","4.322","4.408","4.311","0.01%"
"2023-5-22","4.320","4.249","4.345","4.222","0.96%"
"2023-5-19","4.279","4.256","4.349","4.196","0.43%"
"2023-5-18","4.260","4.152","4.281","4.131","2.40%"
"2023-5-17","4.160","4.088","4.177","4.055","1.86%"
"2023-5-16","4.084","4.010","4.120","3.962","1.84%"
"2023-5-15","4.010","3.993","4.031","3.964","0.48%"
"2023-5-12","3.991","3.889","4.008","3.874","2.36%"
"2023-5-11","3.899","3.918","3.941","3.810","-0.27%"
"2023-5-10","3.910","4.026","4.089","3.874","-2.89%"
"2023-5-9","4.026","4.001","4.070","3.966","0.63%"
"2023-5-8","4.001","3.935","4.016","3.918","2.12%"
"2023-5-5","3.918","3.790","3.947","3.790","3.43%"
"2023-5-4","3.788","3.805","3.943","3.657","-1.97%"
"2023-5-3","3.865","3.974","4.017","3.807","-3.20%"
"2023-5-2","3.992","4.135","4.153","3.928","-3.58%"
"2023-5-1","4.141","4.050","4.163","4.039","2.98%"
"2023-4-28","4.021","4.070","4.109","4.006","-1.47%"
"2023-4-27","4.081","3.945","4.111","3.926","3.34%"
"2023-4-26","3.949","3.932","3.998","3.869","0.02%"
"2023-4-25","3.948","4.082","4.101","3.904","-3.83%"
"2023-4-24","4.105","4.186","4.186","4.093","-1.78%"
"2023-4-21","4.180","4.149","4.203","4.094","0.69%"
"2023-4-20","4.151","4.252","4.256","4.142","-2.29%"
"2023-4-19","4.248","4.216","4.286","4.201","1.07%"
"2023-4-18","4.203","4.186","4.231","4.152","-0.04%"
"2023-4-17","4.205","4.126","4.207","4.099","2.58%"
"2023-4-14","4.099","3.970","4.137","3.943","3.29%"
"2023-4-13","3.968","3.956","3.996","3.893","0.00%"
"2023-4-12","3.968","4.027","4.075","3.876","-1.60%"
"2023-4-11","4.033","3.999","4.081","3.964","0.58%"
"2023-4-10","4.010","3.941","4.024","3.927","0.42%"
"2023-4-7","3.993","3.837","3.993","3.827","4.29%"
"2023-4-6","3.829","3.780","3.837","3.674","0.97%"
"2023-4-5","3.792","3.842","3.897","3.646","-0.76%"
"2023-4-4","3.821","3.968","4.034","3.819","-3.74%"
"2023-4-3","3.970","4.104","4.139","3.966","-1.68%"
"2023-3-31","4.038","4.107","4.172","4.023","-2.04%"
"2023-3-30","4.122","4.097","4.161","4.035","0.50%"
"2023-3-29","4.101","4.087","4.140","4.004","0.50%"
"2023-3-28","4.080","3.959","4.089","3.895","1.81%"
"2023-3-27","4.008","3.809","4.033","3.777","6.40%"
"2023-3-24","3.767","3.835","3.860","3.555","-1.51%"
"2023-3-23","3.825","3.956","4.009","3.758","-3.41%"
"2023-3-22","3.960","4.160","4.259","3.916","-5.25%"
"2023-3-21","4.179","3.980","4.188","3.923","5.38%"
"2023-3-20","3.966","3.963","4.029","3.635","3.12%"
"2023-3-17","3.846","4.155","4.256","3.804","-7.86%"
"2023-3-16","4.174","3.885","4.214","3.823","7.26%"
"2023-3-15","3.892","4.288","4.413","3.720","-8.35%"
"2023-3-14","4.246","4.030","4.399","3.830","5.74%"
"2023-3-13","4.016","4.515","4.536","3.939","-12.56%"
"2023-3-10","4.593","4.834","4.852","4.578","-5.70%"
"2023-3-9","4.870","5.057","5.064","4.868","-3.95%"
"2023-3-8","5.070","5.036","5.084","4.971","1.10%"
"2023-3-7","5.015","4.897","5.021","4.851","2.63%"
"2023-3-6","4.886","4.871","4.901","4.823","0.52%"
"2023-3-3","4.861","4.898","4.915","4.835","-0.58%"
"2023-3-2","4.889","4.885","4.944","4.874","0.22%"
"2023-3-1","4.878","4.834","4.904","4.818","1.26%"
"2023-2-28","4.818","4.789","4.834","4.787","0.74%"
