"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-29","3.7123","3.7273","3.7515","3.7025","","-0.81%"
"2023-6-28","3.7425","3.7900","3.8000","3.7180","58.61K","-1.21%"
"2023-6-27","3.7885","3.8005","3.8465","3.7775","51.67K","-0.42%"
"2023-6-26","3.8045","3.8205","3.8495","3.7850","51.83K","-0.29%"
"2023-6-23","3.8155","3.9005","3.9015","3.7975","44.54K","-2.18%"
"2023-6-22","3.9005","3.9045","3.9640","3.8845","43.05K","-0.26%"
"2023-6-21","3.9105","3.8925","3.9200","3.8535","46.04K","0.44%"
"2023-6-20","3.8935","3.8870","3.9070","3.8490","43.54K","0.76%"
"2023-6-19","3.8643","3.8723","3.8878","3.8518","","-0.25%"
"2023-6-18","3.8738","3.8883","3.8950","3.8725","","-0.63%"
"2023-6-16","3.8985","3.8945","3.9295","3.8870","31.74K","-0.14%"
"2023-6-15","3.9040","3.8660","3.9055","3.8190","37.03K","0.88%"
"2023-6-14","3.8700","3.8285","3.8740","3.7980","89.72K","1.02%"
"2023-6-13","3.8310","3.7530","3.8640","3.7450","115.30K","2.11%"
"2023-6-12","3.7520","3.7715","3.7780","3.7350","78.65K","-0.98%"
"2023-6-9","3.7890","3.7875","3.8335","3.7695","84.55K","-0.16%"
"2023-6-8","3.7950","3.7535","3.7970","3.7345","87.85K","1.04%"
"2023-6-7","3.7560","3.7665","3.8115","3.7410","95.21K","-0.33%"
"2023-6-6","3.7685","3.7625","3.7800","3.7180","62.02K","0.01%"
"2023-6-5","3.7680","3.7280","3.7845","3.6860","80.76K","1.09%"
"2023-6-2","3.7275","3.7125","3.7890","3.6925","82.61K","0.44%"
"2023-6-1","3.7110","3.6670","3.7315","3.6450","85.92K","2.03%"
"2023-5-31","3.6370","3.6620","3.6715","3.6220","66.58K","-0.71%"
"2023-5-30","3.6630","3.6820","3.7110","3.6270","88.10K","-0.24%"
"2023-5-29","3.6717","3.6742","3.7105","3.6582","","-0.09%"
"2023-5-28","3.6750","3.6715","3.6875","3.6715","","-0.01%"
"2023-5-26","3.6755","3.5890","3.6750","3.5830","0.66K","2.60%"
"2023-5-25","3.5825","3.5570","3.6070","3.5405","0.93K","0.59%"
"2023-5-24","3.5615","3.6405","3.6475","3.5450","102.90K","-2.54%"
"2023-5-23","3.6545","3.6805","3.7050","3.6220","69.19K","-0.83%"
